Num,Pod Color,Name,Short Description,Episode
354,Red,Jesstifer,Seen in pod form in Stitch! The Movie. Designed to fix errors in Jumba's database and also enjoys making fun of Shakespeare.,Stitch! The Movie
355,Yellow,Swapper,"A two-headed, four-armed green lizard-like experiment. Able to switch people's minds. Only this same experiment can undo the switch. In his episode, he switches Lilo with Stitch, Jumba with Pleakley, Hamsterviel with Gantu, and eventually switches all four protagonists' minds before back into their original bodies. In Leroy & Stitch, he is seen playing the bongos.",204
356,,Rippington,Originally designed to destroy enemy projectiles and rip through all engines however he has stubby claws and is deamed by Jumba as a failure.,Leroy & Stitch
357,,Downes,Designed to have depressive qualities.,Leroy & Stitch
358,Yellow,Manners,"A black penguin or orca-like experiment that acts like a doorman or butler. Designed to make people too polite to fight back against bullies, by sprinkling a special dust from his finger onto them. His one true place is with Mrs. Hasagawa as one of her ""cats."" One of the few experiments that can speak English.",220
359,,Phoebe,Designed to make the female of any species highly attractive to the opposite gender so all the males are completely distracted and don't get any work done making society fall as the remaining women try to compete with the affected female.,Leroy & Stitch
360,Yellow,Drowsy,"A gray sheep-like experiment with striped ears and that can walk on its hind legs. Designed to put people to sleep by bleating, although the effect is near permanent. The surest way to reverse 360's effect is with a splash of water. Lilo put Stitch to sleep with 360 in order to release PJ (133), but Stitch managed to wake up on his own. He's one true place is putting insomniacs to sleep.","137,209, Leroy and Stitch"
361,,Aron,Designed to make people run errands.,Leroy & Stitch
362,,Putdown,Designed to make you feel depressed but she is too depressed herself to make anyone else depressed.,Leroy & Stitch
363,,Crankster,Designed to crank up the volume as much as he can.,Leroy & Stitch
364,,'Sgo,Designed to give people cigars.,Leroy & Stitch
365,,Queasy,Designed to make you feel sick.,Leroy & Stitch
366,,Xanad,Designed to jump up to 500 miles high.,Leroy & Stitch
367,,Ob,Designed to turn you into aliens. He can pull planets from their orbit and see backwards.,Leroy & Stitch
368,,Luddi,Designed to annoy people with his singing.,Leroy & Stitch
369,Green,Thomas,Seen in pod form in Stitch! The Movie. Designed to be a train.,Stitch! The Movie
370,,Blueblood,Designed to infect your blood.,Leroy & Stitch
371,,Simpatico,Designed to make people nice.,Leroy & Stitch
372,,Eve,Designed to corrupt 200.,Leroy & Stitch
373,,Worrywart,Designed to make you worry about everything. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Leroy & Stitch
374,,Demotifier,Designed to make new things rust quickly to make it look old.,Leroy & Stitch
375,Yellow,Phantasmo,"A green phantom-like experiment with short arms, a large conehead with two stripes, a squeaky voice, a koala-like face, long rabbit-like ears, and dark pupil-less eyes. Seen in pod form Stitch! The Movie. Designed to possess inanimate objects and bring them to life. Being a ghostlike experiment, he can also travel through weapons and materials typically used to capture experiments, such as nets and bottles which can keep experiments under containment. His one true place is at the Macky Macaw's restaurant, possessing the robotic body of Macky Macaw. He is voiced by Nancy Cartwright.","110,213, Leroy and Stitch, Stitch! The Movie"
376,,Cassandra,Designed to shoot gums to the people she sees that is holding hands. And make those two persons in love and marry immediately after that day. The only way to stop the marriage is to spray them water with mixed mud.,Leroy & Stitch
377,,Annie,"Designed to have an off-key, beautiful singing voice.",Leroy & Stitch
378,,Lonelyhearts,Designed to induce unrequited love in males.,Leroy & Stitch
379,,Grudge,Designed to make you hold a grudge against your best friend.,Leroy & Stitch
380,,Judy,Designed to destroy projectiles with laser beams she shoots out of her eyes.,Leroy & Stitch
381,,Neg,Designed to make you all naggy so everyone is annoyed with you.,Leroy & Stitch
382,,1-Imp,Designed to control your attitude.,Leroy & Stitch
383,Yellow,Swirly,"A small turquoise koala-like experiment with a huge head, an expressionless face with a little mouth, little nose, huge black eyes (with white swirling lines when using powers), rabbit-like ears, a single small antenna on the middle of his head and a huge furry dog-like tail. Designed to hypnotize anyone into obeying the next command that person hears. The effect can be undone by snapping one's fingers. His one true place is hypnotizing people at children's parties.","129,Leroy and Stitch"
384,,Woesmy,Designed to do amazing things. 384 is 345's younger brother.,Leroy & Stitch
385,,Hoobie,Designed to turn people into owls.,Leroy & Stitch
386,,Hitch,Designed to hitch cultivations.,Leroy & Stitch
387,,Substein,Designed to bore people by telling facts about buses.,Leroy & Stitch
388,,Megan,Designed to shop so much she uses up the limit on your credit card.,Leroy & Stitch
389,,Facepainter,"Designed to paint faces, so you would look like a clown.",Leroy & Stitch
390,Red,Slimy,"A large green slug-like experiment with three spines on his back. Designed to leave a slippery snail-like trail to trip up enemies. He first appeared at the end of Stitch! The Movie. 390 was captured by Gantu in ""627"" and rescued later in ""Snafu.""","Stitch! The Movie, 123, 226, Leroy and Stitch"
391,Green,Barry,Seen in pod form in Stitch! The Movie. Designed to be a living shovel.,Stitch! The Movie
392,,Margaret,Designed to have advanced medical knowledge.,Leroy & Stitch
393,,Missandra,Designed to be the improved version of 219.,Leroy & Stitch
394,,Joe,Designed to make sloppy joes.,Leroy & Stitch
395,,Polly,Designed to turn people into ghosts.,Leroy & Stitch
396,,Connie,Designed to eat non-stop using his long tentacles in his mouth.,Leroy & Stitch
397,Yellow,Spats,"A small yellow squirrel-like creature with cat-like ears, orange markings on his back, small pointed antennae, orange spots on his forehead and two prongs on his tail. Designed to make people fight with each other. The cure for this is to stop and count to ten. His one true place is in the professional wrestling show, in hope that he can use Spats to make pro wrestlers fight more convincingly.","211,Leroy & Stitch"
398,,Gus the Second,Designed to be 526's prototype.,Leroy & Stitch
399,,Super-X,"Designed to do anything you tell him to, but if you ask him to get you something, he might steal it so that he can give it to you.",Leroy & Stitch
400,,Precious,"A yellow experiment with red eyes. Designed to control all the other experiments. To neutralize this experiment, she has to be thrown into a volcano. Her name, powers, and neutralization procedure are based on the One Ring from The Lord of the Rings. She was originally supposed to have her own episode, a parody of The Lord of the Rings, but Disney scrapped it due to copyright issues.",Leroy & Stitch
401,,Chafe,Designed to make your entire body chafe.,Leroy & Stitch
402,,Chile,Designed to undo the work of 401.,Leroy & Stitch
403,,Zinger,Designed to turn people into crabs and other seashore invertebrates.,Leroy & Stitch
404,,Bloom,Designed to make carniverous plants grow very fast.,Leroy & Stitch
405,,Lucky,"Designed to give one person good luck once in a day, but the moment the luck kicks in, it is the most inconvenient time, and it makes people resent you for it.",Leroy & Stitch
406,,China,Designed to break Jumba's wife's china.,Leroy & Stitch
407,Yellow,Punk,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to vandalize anything for no reason whatsoever.,Lilo & Stitch 2: Stitch Has a Glitch
408,,Berg I,Designed to make small icebergs but he's only big enough to make blocks of ice.,Leroy & Stitch
409,,Gumshoe,Designed to stick gum on people's shoes.,Leroy & Stitch
410,,Jay,Designed to make you feel blue.,Leroy & Stitch
411,Red,Cowlick,Seen in pod form in Stitch! The Movie. Designed to lick cows.,Stitch! The Movie
412,Red,Char,"Seen in pod form in Stitch! The Movie. Designed to burn bagels. He was mentioned in ""Link"" when Reuben was searching the experiment database.","212, Stitch! The Movie"
413,Red,Botulator,"Seen in pod form in Stitch! The Movie. Designed to spoil food. He was mentioned in ""Link"" when Reuben was searching the experiment database.","212, Stitch! The Movie"
414,Red,Crusty,"Seen in pod form in Stitch! The Movie. Designed to spread mold on bread. He was mentioned in ""Link"" when Reuben was searching the experiment database.",212. Stitch! The Movie
415,Red,Patter,"Designed to eat a single sock in each pair. She was mentioned in ""Link"" when Reuben was searching the experiment database.",212
416,,Parslifier,Designed to be a sloppy eater.,Leroy & Stitch
417,,Sageonomificator,Designed to dig artifacts out of the ground.,Leroy & Stitch
418,,Rosemary,Designed to be a flower stealer.,Leroy & Stitch
419,,Vane,Designed to be ferocious towards any critter that is sweet or innocent in her eyes.,Leroy & Stitch
420,,Curdle,Designed to curdle milk.,Leroy & Stitch
421,,Bustduster,Designed to bust things.,Leroy & Stitch
422,,Doublecross,"Designed to break violation of a presumptive social contract, and deliberate collusion to lose a contest of some kind.",Leroy & Stitch
423,,Filibuster,"Designed to present both sides of an argument and thus extend debates, but, unfortunately, he has a glitch and mostly only argues with himself.",Leroy & Stitch
424,,Decayer,Designed to cause tooth decay.,Leroy & Stitch
425,,Mr. Brown,Designed make racist people afraid of the color brown for 24 hours and after it they will see the error in their ways.,Leroy & Stitch
426,,Rewind,Designed to rewind real life.,Leroy & Stitch
427,,Toepoke,Designed to poke your toe nonstop.,Leroy & Stitch
428,,Gameover,Designed to to restart games all the way back to the beginning and he also breaks their video game system.,Leroy & Stitch
429,,Klamp,Designed to to slam doors.,Leroy & Stitch
430,Yellow,Slipknot,Seen in pod form in Stitch! The Movie. Designed to tie knots in people's shoes.,Stitch! The Movie
431,Green,Bluerinse,Seen in pod form in Stitch! The Movie. Designed to make your tongue blue.,Stitch! The Movie
432,,Tonix,Designed to change the volume on T.V.'s.,Leroy & Stitch
433,,Speck,Designed to be an improved version of 010.,Leroy & Stitch
434,,Monochrome,Designed to suck color out of everything.,Leroy & Stitch
435,,Tony,Designed to make Italian food.,Leroy & Stitch
436,,Steve,Designed to lie.,Leroy & Stitch
437,,Honk,Designed to honk his horn-like tail.,Leroy & Stitch
438,,Potter,Designed to use magic.,Leroy & Stitch
439,,Winceslaws,Designed to turn people into mice.,Leroy & Stitch
440,,Waistrel,Designed to steal food and make them go to waste.,Leroy & Stitch
441,Green,Choppers,"A large green quadrapedal experiment with a spiked tail. Seen in pod form in ""Drowsy"". Designed to chop things in two.","137,Leroy & Stitch"
442,,Moldavia,Designed to spoil milk.,Leroy & Stitch
443,,Taps,Designed to annoy people by tapping.,Leroy & Stitch
444,,Pooperson,Designed to cause digestive problems.,Leroy & Stitch
445,,No-C,Designed to take your CDs and transport them to a place you’d least expect them to be.,Leroy & Stitch
446,,Jacob,Designed to become a dragon.,Leroy & Stitch
447,,Handprint,Designed to make hand-prints.,Leroy & Stitch
448,,Diesel,Designed to spill diesel fuel.,Leroy & Stitch
449,,Bellyup,"Designed to target important deliveries and stop them reaching their destinations on time, by launching himself in front of the vehicle and then ‘ playing possum ’ once hit.",Leroy & Stitch
450,,Sapsucker,"Designed to suck the sap from trees, he's a bit of a tree vampire.",Leroy & Stitch
451,,Pullplug,Designed to pull plugs out of their sockets.,Leroy & Stitch
452,,Bob,"A possible reference to Bob from the CG animated series ReBoot. Bob's ""Guardian"" number is also 452. Designed to catch fish so that fishermen can't.",Leroy & Stitch
453,,Trip,Designed to trip you when you don’t expect it with his elephant-like trunk.,Leroy & Stitch
454,,Blackhead,Designed to give you blackheads.,Leroy & Stitch
455,Red,Mary,"A big, round peach-colored experiment with two long white-tipped ears, three large white stripes on her back, a white stomach and a red nose. Designed to be the bouncer for Jumba's lab. Activated at the end of Stitch! The Movie.","Stitch! The Movie, Leroy and Stitch"
456,,Nub,Designed to destroy cities.,Leroy & Stitch
457,,Hangnail,Designed to give you hangnails.,Leroy & Stitch
458,,Greaseprint,Finder was mistakenly called 458 in his episode. Designed to make grease-prints all over the place.,Leroy & Stitch
459,,Nobyte,Designed to eat every food in sight so the food's owner can't get a bite.,Leroy & Stitch
460,,Noise,Designed to make noise.,Leroy & Stitch
461,,Pacer,Designed to win races.,Leroy & Stitch
462,,Flat,Designed to flatten everything in his path.,Leroy & Stitch
463,,Keyz,Designed to steal he gets inside by picking the locks with his key-like claws.,Leroy & Stitch
464,,Sharpflat,Designed to switch sharps and flats on sheet music.,Leroy & Stitch
465,,Skid,Designed to infiltrate strongholds and consume enemies.,Leroy & Stitch
466,,Loomiere,"This experiment name may be a reference to the character Lumiere, from the Disney's Beauty and the Beast. Design to burn Jumba's failed plans.",Leroy & Stitch
467,,Scale,Designed to make people scared in the evening by playing it's piano in a scary sound.,Leroy & Stitch
468,,Undewey,Designed to undo things.,Leroy & Stitch
469,,Jitters,Designed to make you very jittery and nervous.,Leroy & Stitch
470,,Octopalmer,Designed to dismantle mechanical devices and make weapons out of them.,Leroy & Stitch
471,,Sneak,Designed to sneak up behind you and give you a scare.,Leroy & Stitch
472,Red,Little Dorrat,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profiler. Designed to turn people into a dicken (small demon-like creature). Possibly a reference to the Dickens character Little Dorrit.,Lilo & Stitch 2: Stitch Has a Glitch
473,,Tripsy,Designed to trip people.,Leroy & Stitch
474,,Dizzifier,Designed to spin you round and round twisting you out of shape.,Leroy & Stitch
475,,Therman,Designed to be an elemental disaster.,Leroy & Stitch
476,,Haasinator,Designed to undo the works of 336 and 410.,Leroy & Stitch
477,,Buzzcut,Designed to buzz cut your hair.,Leroy & Stitch
478,,Tire Slasher,Designed to slash tires with unbelievable speed aided by his wings.,Leroy & Stitch
479,,Lotta,Designed to make a lot of duplications of things.,Leroy & Stitch
480,,Tappity,Designed to tap a lot.,Leroy & Stitch
481,Yellow,Twitch,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to make you twitch.,Lilo & Stitch 2: Stitch Has a Glitch
482,,Gesundt,"Designed to make you talk, act, eat, and drink like a baby.",Leroy & Stitch
483,,Hiver,Designed to make you break out in hives.,Leroy & Stitch
484,,Buffie,"Designed to lift and destory buildings, he can also climb buildings too.",Leroy & Stitch
485,,Period,Designed to throw periods of anything.,Leroy & Stitch
486,,Grindz,Designed to grind meat.,Leroy & Stitch
487,,Crunkle,Designed to crush things and has 3 retractable arms.,Leroy & Stitch
488,,Speirs,Designed to shoot harpoons at the enemy.,Leroy & Stitch
489,Green/Red,Huggo,"A large, round red octopus-like experiment, but with six tentacles. Designed to squeeze the life out of a person. Activated at the end of Stitch! The Movie. In one scene his pod was green, and in another it was red.",Stitch! The Movie
490,,Stones,Designed to throw stones at people.,Leroy & Stitch
491,,Spikyhands,Designed to destroy things with his spiky hands.,Leroy & Stitch
492,,Milston,Designed to help people.,Leroy & Stitch
493,,Enguard,Designed to vaporize enemies and weapons.,Leroy & Stitch
494,,Mortamer,Designed to destroy motor boats.,Leroy & Stitch
495,,Joy,Designed to decorate for the holidays so Jumba doesn't have to.,Leroy & Stitch
496,,Froggifier,Designed to turn you into a frog.,Leroy & Stitch
497,,Copywronger,Designed to make clones of anything he touches.,Leroy & Stitch
498,,Floods,"Designed to jump in water, until there is a flood.",Leroy & Stitch
499,,Brad,Designed to reach high places with his long sharp claws.,Leroy & Stitch
500,,Cooler,"A tall blue Stamen-like experiment with small ears and a orange cork shape on top of his head.Designed to cool the temperature 100 degrees, but Jumba made a glitch and he can only make it 10 degrees colder.",Leroy & Stitch
501,Blue,Yin,"A blue female octopus/living waterhose-like experiment. Designed to condense moisture in air into water and spray water from its tentacles. Yin was activated with Yang. Jumba said that should the two touch each other, they will cause a giant explosion, but they turned out to be a good example of Yin and Yang; they use fire and water to create a new island. Yin is seen in the episode ""Finder"" playing poker with Stitch, Yang, Richter and Cannonball and at Lilo's slumber party in the episode ""Dupe"" with Yang, Richter and Cannonball.","105, 126, 130, Leroy & Stitch"
502,Blue,Yang,"A red male weasel/lizard/dragon-like experiment. Designed to shoot lava from the pits along its back, in a similar manner to the nasal opening on experiment 619's face. Yang was activated with Yin. Jumba said that should the two touch each other, they would cause a giant explosion, but they turned out to be a good example of Yin and Yang; they use fire and water to create a new island. Yang is seen in the episode ""Finder"" playing poker with Stitch, Yin, Richter and Cannonball and at Lilo's slumber party in the episode ""Dupe"" with Yin, Richter and Cannonball.","105, 126, 130, Leroy & Stitch"
503,Green,Comet,"Seen in pod form in Stitch! The Movie. Designed to shoot across the sky, and land in people’s backyards causing a panic.","Leroy & Stitch, Stitch! The Movie"
504,,Bling Bling,Designed to make false money.,Leroy & Stitch
505,Blue,Ploot,"A small blue-green gastropod-like experiment with a small pouch, black beady eyes, green crab-like claws, and two spinning sweeper brushes for feet. He makes dolphin-like sounds at normal size and monster sounds when grown to bigger size. Designed to flood entire cities with thick black sludge made from ordinary trash and pollution that he collects. His two antennae become like giant smoke stacks, letting pollution into the air. Air freshener can dissolve his sludge and make him clean instead of pollute. His one true place is cleaning the beach. In the episode he is referred to as 515 which is a number taken by Deforestator who as well appears in that episode. The episode he was in was aired on Earth Day.","217, Leroy and Stitch"
506,,Ug,Designed to make you speak like a caveman.,Leroy & Stitch
507,Blue,Woody,"A brown beaver-like experiment with insect-like pincers. Able to eat wood at a rapid pace. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy and Stitch"
508,,Phil,Designed to turn into a werewolf at night.,Leroy & Stitch
509,Blue,Sprout,"A plant-like experiment with a green stem, leaf-like body, tentacle-like vines, and a purple head with lizard-like face, little sharp teeth, dark blue pupil-less eyes, and a single antenna. Designed to sprout into an uncontrollable forest of destruction. Lilo and Stitch ended up catching him after he had grown enormous, deciding to put him in an old water tower that was slated for demolition. However, in the battle between the Leroy army and the experiments at the end of Leroy & Stitch, 509 did not grow into an uncontrollable forest of destruction as it did on its episode. He is voiced by Frank Welker. He is a parody of the alien plant monster Audrey II from Little Shop of Horrors.","111, Leroy & Stitch"
510,,Drill,Designed to drill holes in walls.,Leroy & Stitch
511,,Wilt,Designed to wilt plants by licking them with his long tongue with plant killing saliva.,Leroy & Stitch
512,,Bog,Designed to turn places into bogs. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Leroy & Stitch
513,Blue/Purple,Richter,"A small purple ankylosaurus-like creature with a lavender stomach, a bulky body and legs, a huge tail with a triangle shape at the end, a round face with a wide mouth, a round nose, black eyes, short ears, a single horn on his head and tiny spikes down his back. Designed to cause vicious, Earth-shattering earthquakes with one thump of his tail. He is named after the Richter scale, and his one true place is making milkshakes. He is seen in the episode ""Finder"" playing poker with Stitch, Yin, Yang and Cannonball and at Lilo's slumber party in the episode ""Dupe"" with Yin, Yang and Cannonball. Seen in pod form in Stitch! The Movie. He is voiced by Tress MacNeille.","106, Leroy & Stitch, Stitch! The Movie"
514,,Cone,"Designed to give different flavors of ice cream. His breath can turn marbles into large cones. However, he has no evil function because Jumba only made him to serve him delicious ice cream while he was working.",Leroy & Stitch
515,Purple,Deforestator,"A big purple roughly wombat-like creature about three feet tall with long blade-like claws on his front paws and blade-like neck. Seen in pod form in Stitch! The Movie. Designed to cut down entire forests. He first appeared just before Jumba created 627, when Stitch started bragging about how easily he catches experiments (overwhelming and rehabilitating Deforestator in 2 minutes).","123,Leroy and Stitch, Stitch! The Movie"
516,,Auntie,Designed to eat all bugs up to make the bug population decrease.,Leroy & Stitch
517,,Parch,Designed to suck up water to cause drought. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Leroy & Stitch
518,,Flame,Designed to shoot flames out of her head.,Leroy & Stitch
519,Green,Splat,"A large green experiment, with two cone-shaped antenna and a roller between his front legs. Seen in pod form in Stitch! The Movie. Designed to level entire cities with his deceptively small roller. His one true place is as a road roller.","Leroy & Stitch, Stitch! The Movie"
520,Blue,Cannonball,"A pink experiment with a big posterior and short stubby tail. Designed to make big waves (or tsunamis). Lilo and Stitch fear for Kauai because they think he is going to create an island-flooding tsunami, but it turns out that 520 can control his waves and creates one just big enough to send Gantu to San Francisco. His one true place is making waves for surfers. He is seen in the episode ""Finder"" playing poker with Stitch, Yin, Yang and Richter and at Lilo's slumber party in the episode ""Dupe"" with Yang, Yin, and Richter. He is voiced by Tress MacNeille.","104,Leroy and Stitch"
521,Blue,Wrapper,"A yellow-orange experiment designed to wrap things up like a mummy using his roll of paper for a tail. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy and Stitch"
522,,Tarantula,Designed to make you scared of spiders and web people up.,Leroy & Stitch
523,Blue,Slushy,"A small icy blue-colored koala-like creature with no ears, small arms and legs, a thin mouth, a large nose, dark blue eyes and three icicles behind his head. Designed to freeze land with his ice breath, generates ice, and also break apart into bits of ice and return to its original form. 523 chills the weather in Lilo's town during a very hot day. He makes it so cold that it starts to snow. Slushy also battles with Splodyhead (619). Splodyhead and Stitch overwhelm him, and the former restores the warm climate to the island. His one true place at the ice cream shop creating Shave Ice. In the episode ""Snafu"", he is shown at the Shave Ice stall working with Experiment 344 (Dupe).","127, 226, Leroy and Stitch"
524,Green,Shovel,Seen in pod form in Stitch! The Movie. Designed to dig using his shovel-like tail.,Stitch! The Movie
525,Yellow,Stoneface,"Seen in pod form in Stitch! The Movie. Designed to eat a large amount of rock and can eat more than his body weight. When he gets big enough, he is programmed to find the nearest hill, roll down it and smash into the nearest town.",Stitch! The Movie
526,,Gus,Designed to eat up all crops in mere seconds.,Leroy & Stitch
527,,Chip,Designed to turn trees into chips starting at the top.,Leroy & Stitch
528,,SPF,"Designed to block out all sun light on planets, causing all sorts of problems. When turned to good, he can block out harmful sunlight leading to his one true place: fixing the ozone.",Leroy & Stitch
529,Red/Purple,Digger,"A yellowish tan meerkat-like experiment with a long drill-shaped tail, a round body, short arms and legs with sharp claws, a round head with sharp teeth, a dark round nose, dark blue eyes and a row of spikes from his head down to his tail. Designed to drill holes through planets. His one true place is in the mines. He was activated at the end of Stitch! The Movie.","Stitch! The Movie,109,207, Leroy & Stitch"
530,,Crybaby,"Designed to cry, until she makes a flood.",Leroy & Stitch
531,Green,Hisee,"Seen in pod form in Stitch! The Movie. Designed to study past events and, like Snafu, foil enemy plans by any possible means, but he is smarter and can jump higher than him. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).",Stitch! The Movie
532,,Strato,Designed to electrocute you with her antennae.,Leroy & Stitch
533,Blue,Blowhard,"A purple anteater-like experiment with an elephant-like head with a long trunk and a bellows on the back of his head, designed to immobilize any object by flying it like a kite. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
534,Green,Crabweed,"Seen in pod form in ""Drowsy"". Designed make weeds grow everywhere.","137,Leroy & Stitch"
535,Yellow,Spectrum,"Seen in pod form in Stitch! The Movie. Designed to make rainbows appear everywhere, until you go crazy.",Stitch! The Movie
536,,Polar,Designed to bury cities in snow.,Leroy & Stitch
537,,Rust,Designed to make rust appear on any metal surface.,Leroy & Stitch
538,,Autumn,Designed to turn season into autumn.,Leroy & Stitch
539,Green,Algae,Seen in pod form in Stitch! The Movie. Designed to make algae grow on ponds.,Stitch! The Movie
540,Red,Phoon,A small red elephant-like creature that also resembles an Octorok. Designed to create massive typhoon-like winds. She mutated into a stronger form after being shot by Jumba's ray but reverted to her original form after Stitch put her to sleep. Her one true place is creating winds for windsurfers on the beach.,"210, Leroy and Stitch"
541,,Swell,Designed to grow bigger due to being ignored.,Leroy & Stitch
542,,Hallie,"Designed to be a bigger, better version of Comet (503).",Leroy & Stitch
543,Green,Franklin,Seen in pod form in Stitch! The Movie. Designed to make lightning strike everything.,Stitch! The Movie
544,Purple,Thresher,"A small purple, roughly slug-like experiment with a slim body, a wide mouth, two eyes on two stocks, six spiky mace-like tentacles and three short legs. Seen in pod form in Stitch! The Movie. Designed to thrash crops with his mace-like appendages. Thresher was used by Gantu to defeat Stitch but was defeated in ""Dupe"". He is rescued by Lilo and Stitch in ""Snafu"".","126, 226,Leroy and Stitch, Stitch! The Movie"
545,,Pompey,Designed to produce enough lava to cover whole cities.,Leroy & Stitch
546,,Rip,Designed to be the improved version of 356.,Leroy & Stitch
547,,Cam,Designed to record the enemy's most private moments.,Leroy & Stitch
548,,Cheesy,"Designed to to have the personality of a very, young child.",Leroy & Stitch
549,,Supersweet,Designed to make you lose your sense of taste.,Leroy & Stitch
550,,Clammy,Designed to make people clammy.,Leroy & Stitch
551,,Dryheat,Designed to make you go against air conditioners during summer so you’ll literally boil.,Leroy & Stitch
552,,Astro,Designed to suck the leaders of planets into its air bubbles and then go into orbit around the planet.,Leroy & Stitch
553,,Clipse,Designed to cause constant eclipses.,Leroy & Stitch
554,,Sol,Designed to destroy the ozone layer.,Leroy & Stitch
555,,Liquefactor,Designed to make anything he touches turn into water; kind of a water version of the Midas touch.,Leroy & Stitch
556,,Berg II,Designed to make the perfect iceberg with its back side of his body.,Leroy & Stitch
557,,Cauldron,Designed to make soup and other liquid food. He uses tail like a nun-chuck (tail is detachable). Brusselsprouts are his one weakness.,Leroy & Stitch
558,,Sepia,Designed to bite people and make them swollen.,Leroy & Stitch
559,Yellow,Midasminus,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profiler. Designed to make everything she touching turn into fool’s gold.,Lilo & Stitch 2: Stitch Has a Glitch
560,,Prism,Designed to change the flow of light.,Leroy & Stitch
561,,He,"Designed to tell on everyone when they do something bad saying ""He did…"" or ""She went and did…"".",Leroy & Stitch
562,,Hardy,Designed to have a hard shell.,Leroy & Stitch
563,,Silbert,Designed to scare people.,Leroy & Stitch
564,,Lotis Wife,"Designed to make people married after one day, she can even turn you into an adult.",Leroy & Stitch
565,,Phosphor,Designed to make everything glow by painting it with his luminous paint.,Leroy & Stitch
566,Blue,Derrick,"A grey dinosaur-like experiment with a drill-like tail, wearing a construction helmet. Designed to drill potholes. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy and Stitch"
567,Blue,Eva,Seen in pod form in 627. Pod caught by Gantu. Designed to control the weather.,123
568,,Slenky,"Supposed to be designed to have all of the elemental powers, but Jumba accidentally knocked some extra DNA into the mix and now no ones sure what he does. His known powers are fire, super-speed, and bullet proof skin. He has metal bones making him tougher. And he's also known to smash things with his hammer nose when he's mad. Water is an obvious weakness, though not only does it stop his fire power, but he's not a very strong swimmer due to his heavy bone structure. Magnets that are powerful enough will stick to him because of his metal bones.",Leroy & Stitch
569,,Glenn,Designed to become an incredibly attractive male of any species and use that to sway women away from their previous relationships.,Leroy & Stitch
570,,Frosty D.,Designed to make everything very icy outside.,Leroy & Stitch
571,,Dusty,Designed to create tons of dust making it hard to breathe.,Leroy & Stitch
572,,Dropcall,Designed to make prank phone calls.,Leroy & Stitch
573,,Handoman,Designed to give people jobs.,Leroy & Stitch
574,Red,Lardo,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to make people fat.,Lilo & Stitch 2: Stitch Has a Glitch
575,,Magnarette,Designed to attract other objects using her magnet like ears.,Leroy & Stitch
576,,Darn,Designed to destroy dams.,Leroy & Stitch
577,,Oof,Designed to break people's spines.,Leroy & Stitch
578,,Carrie,Designed to carry and drop bombs.,Leroy & Stitch
579,,Spinster,Designed to spin.,Leroy & Stitch
580,,Friday,Designed to make people have a freaky day.,Leroy & Stitch
581,,Roadie,Designed to break roads.,Leroy & Stitch
582,,Spout,Designed to make geysers spout all over.,Leroy & Stitch
583,Red,Blake,Seen in pod form in Stitch! The Movie. Designed to be a voracious eater and is able to breathe lightning and fire. He is in some Disney Adventures comics (the ones where Jumba is fixing Stitch). He was mentioned in Disney's Stitch: Experiment 626 as a flying experiment.,"Disney's Stitch: Experiment 626, Stitch! The Movie"
584,,Balar,Designed to overload Bio-electric and mechanical energy 1000%.,Leroy & Stitch
585,,Petrifier,Designed to freeze things in ice.,Leroy & Stitch
586,Blue,Tank,"A round orange armadillo/bulldog-like experiment with thick legs, sharp teeth, and a short tail. Designed to eat metal, and grows bigger each time he does. He is eventually caught by Gantu and sent to Hämsterviel, but rescued in ""Snafu"". Note that he shrunk between ""Tank"" and ""Snafu"", suggesting he returns to normal size after a while.","120, 226, Leroy & Stitch"
587,,Noviz,"Designed to turn into a shadow, make people blind and transform light into darkness.",Leroy & Stitch
588,,Sa,Designed to annoy people with her mexican music.,Leroy & Stitch
589,,Stoopinslide,Designed to make you slip and slide with the goo he releases on his stomach.,Leroy & Stitch
590,,Baron Meter,Designed to control the weather.,Leroy & Stitch
591,,Squidly,Designed to eat up fish and cause a fish famine.,Leroy & Stitch
592,,Deodorant,Designed to launch a near invisible liquid out from underneath his tail. The liquid will make the person that was hit have an unbearable body odor that roots from the arm-pit. This odor lasts for weeks and is very contagious.,Leroy & Stitch
593,,Heatwaver,Designed to make heat waves when he flies.,Leroy & Stitch
594,,Colm,Designed to make soda.,Leroy & Stitch
595,,Icecrusher,Designed to crush ice for fishers in the winter.,Leroy & Stitch
